permutation,mean_mse_improvement,target,source
0,0.2797712297339423,te_zt,te_power_factor
1,0.034599202211221466,te_zt,te_power_factor
2,0.25284697664631517,te_zt,te_power_factor
3,-0.3138238997519934,te_zt,te_power_factor
4,0.531332833082264,te_zt,te_power_factor
5,0.6973530955431908,te_zt,te_power_factor
6,-0.06024499134100105,te_zt,te_power_factor
7,-0.17455393510069167,te_zt,te_power_factor
8,0.4191301847513783,te_zt,te_power_factor
9,-0.013207704322584658,te_zt,te_power_factor
10,0.0725379276561344,te_zt,te_power_factor
11,0.5712251220142347,te_zt,te_power_factor
12,-0.78051875677338,te_zt,te_power_factor
13,-0.4661252039226012,te_zt,te_power_factor
14,0.2472795889111974,te_zt,te_power_factor
15,-0.3369524961302638,te_zt,te_power_factor
16,0.01932156848885392,te_zt,te_power_factor
17,1.209315229437151,te_zt,te_power_factor
18,-0.4268733359854312,te_zt,te_power_factor
19,-1.359777891420608,te_zt,te_power_factor
20,-0.04726257142773424,te_zt,te_power_factor
21,0.21433147369778519,te_zt,te_power_factor
22,0.7026425872414201,te_zt,te_power_factor
23,-0.10343853329977581,te_zt,te_power_factor
24,-0.03947481886783754,te_zt,te_power_factor
25,0.06768775999655668,te_zt,te_power_factor
26,0.20557750515751963,te_zt,te_power_factor
27,-0.35076261908060447,te_zt,te_power_factor
28,-0.04516573711988933,te_zt,te_power_factor
29,-1.2694352044578827,te_zt,te_power_factor
30,-0.18616083219321314,te_zt,te_power_factor
31,0.16438890114058238,te_zt,te_power_factor
32,-0.11576701865259194,te_zt,te_power_factor
33,1.948235912945402,te_zt,te_power_factor
34,0.4310757960781686,te_zt,te_power_factor
35,1.0951446773749811,te_zt,te_power_factor
36,-0.6398288699571826,te_zt,te_power_factor
37,0.025134585811886122,te_zt,te_power_factor
38,-0.021640576182682593,te_zt,te_power_factor
39,-0.028813526106842784,te_zt,te_power_factor
40,0.7526689891901917,te_zt,te_power_factor
41,0.26514306898792794,te_zt,te_power_factor
42,0.35315315984185724,te_zt,te_power_factor
