target_key,ID,split,canonical_smiles,scaffold,max_similarity_to_development,max_similarity_to_retained_donor,hard_ood_40pct,hard_ood_25pct,pred_absorption_nm,unc_absorption_nm,pred_emission_nm,unc_emission_nm,pred_log1p_lifetime_ns,unc_log1p_lifetime_ns,pred_quantum_yield,unc_quantum_yield,pred_log_extinction,unc_log_extinction
blind:573,573,blind,Oc1ccc2c(c1)Oc1cc(O)ccc1C21c2ccccc2-c2ccccc21,murcko-c1ccc2c(c1)Oc1ccccc1C21c2ccccc2-c2ccccc21,0.6052631578947368,0.4318181818181818,False,False,335.4497223905835,37.639967278637805,364.0888797719723,42.035456928497524,1.3241237555583052,0.455446918788335,0.2724526722222222,0.23689956688036937,4.484253060591664,0.5012956743157143
blind:574,574,blind,O=c1c2ccccc2n(-c2ccccc2)c2ccccc12,murcko-O=c1c2ccccc2n(-c2ccccc2)c2ccccc12,0.5294117647058824,0.7692307692307693,False,False,395.2223220994446,5.022299069698055,419.30328136341643,20.401808906522866,2.090360756876787,0.41657084881662976,0.3171387500000008,0.16433711698209919,4.056042990816471,0.28244978550569133
blind:575,575,blind,c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21,murcko-c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21,0.6086956521739131,0.6086956521739131,False,False,310.7525293112778,11.681379111873289,343.86261534898614,31.32036350547325,1.6257226478614413,0.4022935424530128,0.34956561111111145,0.23365511028707112,4.476331789224161,0.5068827310161308
blind:576,576,blind,C1=CSC(=C2SC=CS2)S1,murcko-C1=CSC(=C2SC=CS2)S1,0.1666666666666666,0.391304347826087,True,True,311.54006468061124,56.47243435432758,391.9305748999165,97.30462814096606,1.411928990123497,0.8384082295746816,0.08299088888888884,0.11491065473034333,3.9957741133195,0.23660868979563016
blind:577,577,blind,c1ccc2c(c1)ccc1ccccc12,murcko-c1ccc2c(c1)ccc1ccccc12,0.8571428571428571,0.6875,False,False,340.4008084090191,25.792218022899096,382.1087326780834,31.876760050966986,2.3559700674023554,0.4017535407604419,0.13214910833333332,0.1286963873507878,3.8785011266573255,0.12350427913107137
blind:578,578,blind,COC(=O)c1ccc2cc(Br)ccc2c1,murcko-c1ccc2ccccc2c1,0.7777777777777778,0.45,False,False,337.6591132056948,30.98167961981091,398.4974191589166,35.08548107326391,1.8203487153193711,0.6831121814987736,0.28734134722222193,0.2155613290447856,4.052800771691866,0.27443688797026955
blind:579,579,blind,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,murcko-O=C1c2ccccc2C(=O)c2ccccc21,0.5652173913043478,0.4285714285714285,False,False,459.65690645769445,45.176322975140586,547.3237473287779,41.62669251653987,1.476702615143225,0.3607911489302545,0.053890954166666644,0.07771558422507648,3.461628544780229,0.6574632842979401
blind:580,580,blind,O=C1C(O)=C(O)C(=O)C(O)=C1O,murcko-O=C1C=CC(=O)C=C1,0.4,0.24,True,True,452.2922515448332,51.153133043687454,515.2663103159168,76.92351287101572,1.1788668626176417,0.8423506128421845,0.050931522222222234,0.06512875132584468,3.9474904168111142,0.34201274493927974
blind:581,581,blind,COc1cc(C=O)c(OC)cc1C=O,murcko-c1ccccc1,0.6153846153846154,0.5925925925925926,False,False,387.8903101543335,49.51754800671586,465.85251103472217,17.379424942914,1.3360204005386958,0.6276379624059212,0.16635455555555556,0.11458592369459437,4.221378095263887,0.5298157190654897
blind:582,582,blind,N[C@@H](Cc1ccccc1)C(=O)O,murcko-c1ccccc1,0.3333333333333333,0.7037037037037037,True,True,271.5703799884726,35.70480486732153,312.52507382876684,41.472390947896386,1.61664975969564,0.30201122054866214,0.09943820277777772,0.1105775734177257,3.740783511613915,0.37153744442050085
