cell_id,batch,life,censored,theta_log10_a,theta_beta,own_theta_log10_a,own_theta_beta,own_log10_life,log10_var_delta_qv,log10_abs_min_delta_qv,capacity_slope_2_100,capacity_intercept_2_100,qd100_over_qref,ce_mean_10_100,ce_std_10_100,mean_charge_c_rate,mean_discharge_c_rate
b1c0,batch1,1852.0,False,-6.040823191466156,1.5679245866717957,-3.2896077250835423,-0.1041472860587595,5.0,-5.020985031165483,-1.9619664870586893,1.323006555349162e-05,1.0754209979699028,0.9991951393325637,1.0001836781059512,0.0009265451801142879,3.6000000000000005,4.0
b1c1,batch1,2160.0,False,-6.08348848414813,1.5470867161816897,-5.593676678480378,1.2576156927906388,3.8920527965765483,-5.130963520962892,-2.0666524260577255,2.9523537414909218e-06,1.0811210966258502,0.9987163806611088,1.0001388368026567,0.0008721798655907725,3.6000000000000005,4.0
b1c2,batch1,2237.0,False,-6.15181990605789,1.5623741749671087,-4.274993272468761,0.434996551884968,5.0,-4.9292831858372,-1.8821369958115879,7.809261595542179e-06,1.0849968983656975,0.9990795991564542,1.0002096085709593,0.0010528898597924926,3.6000000000000005,4.0
b1c3,batch1,1434.0,False,-6.230213200305913,1.6523274318481527,-3.023487828409413,-0.22133976265802213,5.0,-4.368931463779801,-1.7029996366161804,1.2058388373530498e-05,1.0844152797687072,0.999041823488284,1.0003664512277766,5.4188540970004554e-05,4.0,4.0
b1c4,batch1,1709.0,False,-6.209388113428625,1.6202464107635717,-2.8984217727059454,-0.33723880442909304,5.0,-4.5910256021611575,-1.8284251281568298,1.4311751391457705e-05,1.0821905370426717,0.9991355133372932,1.0001371827640495,6.788030974750124e-05,4.0,4.0
b1c5,batch1,1074.0,False,-6.230668539035332,1.6959562738210532,-3.303604949005226,-0.03454363352408785,5.0,-4.143891193994304,-1.5870348838981065,6.146750773035635e-06,1.0800908955085544,0.9988145014365671,1.000155329233121,0.00043411373732309296,4.4,4.0
b1c6,batch1,636.0,False,-6.285262851596818,1.8668764674270273,-4.307365606989846,0.6693465360612063,5.0,-3.7717032230544003,-1.4145085943873066,-1.021775510204475e-05,1.0814925903586885,0.9973108432006909,1.0004494372510533,0.0007706268587060214,4.8,4.0
b1c7,batch1,870.0,False,-6.2650950211389835,1.7781763723795467,-4.26077167161518,0.622976108953428,5.0,-3.8128388383127643,-1.4233469692945167,-1.1260525664811332e-05,1.0975701161018339,0.9980865512433911,1.0002318486100703,0.0009637553381798513,4.8,4.0
b1c8,batch1,879.0,False,-6.429609458551553,1.7770792686127104,-4.031169822970314,0.3439379350394911,5.0,-3.9330085178746845,-1.5003879455354054,2.0668806431656947e-06,1.0947083456528546,0.9988423449247947,1.0002957152461345,5.433308433537157e-05,4.8,4.0
b1c9,batch1,1054.0,False,-6.744819412234183,1.8788419346771483,-2.7389160269430306,-0.521094372946541,5.0,-3.9749905757010278,-1.52174822762636,1.5252735930737063e-05,1.0869687973362188,0.9995427011949319,1.0002553966320331,5.7535909573709995e-05,4.8,4.0
b1c10,batch1,906.0,False,-6.360278569601278,1.7354244014006235,-2.881979327051887,-0.3329025181658133,5.0,-3.9840612435351797,-1.5507145615818687,2.1554883116883573e-05,1.0806606060115433,0.9990900481043193,1.0006991982361337,0.0004943303969070274,4.714285714285715,4.0
b1c11,batch1,788.0,False,-6.539239924086209,1.8548950240623756,-2.9279535182042613,-0.2592274274521786,5.0,-4.092276470242922,-1.6049402016503624,1.8141972789115552e-05,1.059213580599876,0.9991343614664443,1.0005530299441951,0.00048775093327487607,4.714285714285715,4.0
b1c12,batch1,902.0,False,-6.540478689850073,1.8112115455944549,-3.1569149949691284,-0.15764107530030763,5.0,-4.073286077273437,-1.5506485381695951,9.54763265306268e-06,1.0817089636639863,0.9992044361688401,1.0003453540065175,3.678800011471583e-05,4.885714285714286,4.0
b1c13,batch1,897.0,False,-6.504818432890817,1.8035505483492436,-4.110507436777246,0.40823413639006184,5.0,-4.019283340165239,-1.530247768945848,1.259766233764754e-06,1.0842456600028856,0.9988664792367608,1.000196749446177,4.434386917244215e-05,4.885714285714286,4.0
b1c14,batch1,880.0,False,-6.722174812763921,1.9059535517832051,-1.9602863229597993,-0.9702573889969641,5.0,-4.039720008249401,-1.5469228784438769,2.1304357452070155e-05,1.0751031131234794,0.9995317088031223,1.0006889325069201,0.0004327306178898793,4.8,4.0
b1c15,batch1,719.0,False,-6.502287998663034,1.8482695216652507,-2.0957044147369555,-0.7782244110355788,5.0,-4.017499860578684,-1.5392391613960743,2.3065202226345313e-05,1.0665856039793853,0.9992704414900627,1.0006382211539837,0.0004605167363776366,4.8,4.0
b1c16,batch1,862.0,False,-6.5311881683629975,1.829074769741977,-2.4162097320747558,-0.6332185729693595,5.0,-4.097771366597967,-1.5585259833497396,1.827402226345242e-05,1.0856142177938564,0.9992485269278772,1.0005785559846654,0.0007184614591117217,4.95,4.0
b1c17,batch1,857.0,False,-6.931440304765515,1.9684796239031066,-2.807471859075416,-0.44222752073284843,5.0,-3.991511636892535,-1.5198899372374468,1.4345563388985684e-05,1.0764271661661513,0.9994764905171563,1.000232551820784,0.00013028604947296323,4.95,4.0
