cell_id,batch,life,censored,theta_log10_a,theta_beta,log10_var_delta_qv,log10_abs_min_delta_qv,capacity_slope_2_100,capacity_intercept_2_100,qd100_over_qref,ce_mean_10_100,ce_std_10_100,mean_charge_c_rate,mean_discharge_c_rate
b1c0,batch1,1852.0,False,-6.040823191466156,1.5679245866717957,-0.8200723810918441,0.022302519397856116,1.323006555349162e-05,1.0754209979699028,0.9991951393325637,1.0001836781059512,0.0009265451801142879,3.6000000000000005,4.0
b1c1,batch1,2160.0,False,-6.08348848414813,1.5470867161816897,-0.7676017071282027,0.026546014786845713,2.9523537414909218e-06,1.0811210966258502,0.9987163806611088,1.0001388368026567,0.0008721798655907725,3.6000000000000005,4.0
b1c2,batch1,2237.0,False,-6.15181990605789,1.5623741749671087,-0.759839406992228,0.015622450041813986,7.809261595542179e-06,1.0849968983656975,0.9990795991564542,1.0002096085709593,0.0010528898597924926,3.6000000000000005,4.0
b1c3,batch1,1434.0,False,-6.230213200305913,1.6523274318481527,-0.7442312350739825,0.025371662991405815,1.2058388373530498e-05,1.0844152797687072,0.999041823488284,1.0003664512277766,5.4188540970004554e-05,4.0,4.0
b1c4,batch1,1709.0,False,-6.209388113428625,1.6202464107635717,-1.0006993959350143,0.02163615671415256,1.4311751391457705e-05,1.0821905370426717,0.9991355133372932,1.0001371827640495,6.788030974750124e-05,4.0,4.0
b1c5,batch1,1074.0,False,-6.230668539035332,1.6959562738210532,-0.7995164942812645,0.021297262852209328,6.146750773035635e-06,1.0800908955085544,0.9988145014365671,1.000155329233121,0.00043411373732309296,4.4,4.0
b1c6,batch1,636.0,False,-6.285262851596818,1.8668764674270273,-1.016889960629003,0.022029023021564537,-1.021775510204475e-05,1.0814925903586885,0.9973108432006909,1.0004494372510533,0.0007706268587060214,4.8,4.0
b1c7,batch1,870.0,False,-6.2650950211389835,1.7781763723795467,-0.8254718871064839,0.035256776109809276,-1.1260525664811332e-05,1.0975701161018339,0.9980865512433911,1.0002318486100703,0.0009637553381798513,4.8,4.0
b1c8,batch1,879.0,False,-6.429609458551553,1.7770792686127104,-0.8103874883435966,0.01920510653642961,2.0668806431656947e-06,1.0947083456528546,0.9988423449247947,1.0002957152461345,5.433308433537157e-05,4.8,4.0
b1c9,batch1,1054.0,False,-6.744819412234183,1.8788419346771483,-0.7800686942126757,0.02600865974357117,1.5252735930737063e-05,1.0869687973362188,0.9995427011949319,1.0002553966320331,5.7535909573709995e-05,4.8,4.0
b1c10,batch1,906.0,False,-6.360278569601278,1.7354244014006235,-0.871239460139862,0.013851434023849177,2.1554883116883573e-05,1.0806606060115433,0.9990900481043193,1.0006991982361337,0.0004943303969070274,4.714285714285715,4.0
b1c11,batch1,788.0,False,-6.539239924086209,1.8548950240623756,-0.883103522705732,0.013588360283551468,1.8141972789115552e-05,1.059213580599876,0.9991343614664443,1.0005530299441951,0.00048775093327487607,4.714285714285715,4.0
