seed,A,B,C,D
20290730,-0.23099259084099127,-0.21732042076392663,-0.04592194859082066,-0.3040382755111775
20290731,-0.06951435342894233,-0.13927788836806923,-0.05142634310804295,-0.028556644595063137
20290732,-0.008642049375540814,0.17273025879043158,-0.015010348863313516,0.10642749477235718
20290733,-0.0636379998271775,-0.1027748489428784,-0.04419413864971982,-0.08659682487551237
20290734,0.13841377450037481,0.22142097585425746,-0.07793442722177227,0.21810437274233627
20290735,0.021636619974236687,-0.046045004123319806,-0.11086180521389703,0.032153221997319514
20290736,0.15447100820647336,-0.03285543518975387,0.06828148904388599,0.06252165370744758
20290737,-0.027018028019956997,-0.038332840891980705,0.1006089330286841,0.11535144620831439
20290738,0.022326544082662367,-0.06449300251800495,0.0029696733362670623,0.02791771966872402
20290739,-0.08249392567745503,-0.05297725197537142,0.015031346553569948,-0.10261494274711293
20290740,-0.0492485826614471,-0.06644579064075942,-0.03251042385703275,-0.056018417837479434
20290741,-0.0023937366892334503,-0.01633322784700172,-0.09965503795703469,-0.0660552385113325
20290742,0.03710291868311848,0.08503177406408774,-0.09139394667614631,-0.05971098396106375
20290743,-0.26104928460805793,-0.2225368547815457,0.05005849357133811,-0.23911990341807288
20290744,-0.11863395027881418,-0.20023727428299462,-0.08351681315994701,-0.18541421383508855
20290745,-0.05864954855625616,-0.07596675761713838,0.008297087321327973,0.014710271543507316
20290746,-0.04779674236371653,-0.03038670304685536,-0.048717641064962985,0.06262064207631703
20290747,-0.10313765486956607,-0.12038893781663305,0.04548099709543556,-0.006872192517572443
20290748,-0.23648498667806708,-0.19257610551876275,0.19389867116798273,-0.2517574185104049
20290749,0.1207007229340546,0.12431551178389205,-0.14238233795884078,-0.014266323707365578
20290750,0.03043765186171907,-0.05003157158129324,-0.12996370400717852,-0.12902683935000483
20290751,-0.055808861031564336,-0.08495078285162326,0.15543990162830595,-0.13286938785066404
20290752,0.10558238594942228,0.12280367581788859,-0.003878573357366981,0.05546048339476076
20290753,0.10025197229432473,-0.05495403749441167,-0.0072652008287260855,-0.04054923546597306
20290754,0.05792662807742751,-0.03500920150640166,-0.060179380274939194,-0.016009118928976048
20290755,0.03217746048296644,-0.028706885306851507,-0.11884092751134188,-0.08467105115387051
20290756,-0.09631940487629835,-0.04520809492785361,-0.07099619042703921,0.060868847912082066
20290757,-0.2149233584547462,-0.18598582056378338,-0.03511413744883053,-0.07929268311196419
20290758,0.10461049285755307,0.15770188936646856,0.18365479799287968,0.16608748472521545
20290759,-0.12260551340731679,-0.29126539774398896,0.06464588895948632,-0.12326151677524523
20290760,-0.17850736421001676,-0.12430051341121345,0.07860635330997814,-0.1598782143143141
20290761,-0.09612142665388056,0.019182918655936822,-0.06996430393443734,-0.12850190103024264
20290762,0.19113897473428,0.21111409414951957,0.12611212768014124,0.24332240962371188
20290763,-0.23767585568261052,-0.13681815524877786,0.07272700003817668,-0.11526745607715244
20290764,0.1713411524924996,0.05954053985952931,-0.2000749917734109,-0.13597402305611472
20290765,0.04797672256591454,0.09499669287175344,0.021372649011012948,-0.02054458601172137
20290766,0.06512583616534766,-0.032972422496646996,0.05112337643434296,-5.699330328846636e-05
20290767,0.01391246962990569,0.08707755209744956,-0.002246752857438414,0.1587293493059203
20290768,-0.1504514503573846,-0.2514657160040406,0.15643879175050487,-0.21018230358523943
20290769,-0.09627440982574885,-0.032735448208325024,-0.14818969914976302,-0.049626168926546706
20290770,-0.04494405615887817,-0.14335444606211425,-0.1967543570428577,-0.24939069660016275
20290771,0.03107958124955862,0.07843848943457263,0.04703782584444829,0.011980592280743926
20290772,0.11003989562385949,0.06153532342578388,-0.009763925969241704,-0.010174804460761992
20290773,-0.11825299218416174,-0.17276625488486025,0.16627770947066242,-0.12003389602059313
20290774,-0.14378318386594857,-0.104661644225847,0.027293997663327272,0.08177039198124172
20290775,-0.06729759727187024,0.08205609692465235,0.08673245943921802,0.20686769305188388
20290776,0.2546599874300288,0.232000827941746,-0.06871044185912457,0.15095126323081537
20290777,0.03885172631447575,0.015517316373285562,0.006791252962938009,0.09971728322202564
20290778,0.023040465551381114,0.019038934278222206,-0.07738248793503172,0.2832537176961363
20290779,-0.0876203617700615,0.008414087072697855,-0.04777274500342347,0.10675445635438048
20290780,0.005981342053046991,-0.05385315693980199,0.16129225786977772,-0.010009823845979591
20290781,-0.24931457542474808,-0.4097975370230106,-0.039487656362242024,-0.34171084898485377
20290782,0.16678165403681683,0.23538446081803946,0.0013888472269612624,0.09584473824595141
20290783,0.004895461499785703,0.06405205036125394,0.04217236104502892,0.05494154437008156
20290784,-0.023577406487938494,0.015757290336143256,-0.0013648498666681953,0.08089449489912424
20290785,0.04303026667550607,0.0404716088359499,0.09840417555175857,0.20428499651865387
20290786,0.06620271770849905,-0.019377897500758696,-0.13726490087634421,-0.0938469729833136
20290787,0.18162402137807887,0.11395763561204689,-0.05297717251698241,0.20156431619851498
20290788,-0.04477907430686334,0.1648351154124135,-0.0729609743010341,0.010456771329662828
20290789,-0.0059453460126073915,0.09914224308012008,0.15240123588119633,0.045726627122599006
20290790,0.130851606338022,0.12406053944835577,0.06225815161032613,0.1847872874989154
20290791,-0.19224585297779773,-0.11497152560512064,0.1437411884854357,-0.05341772341900046
20290792,-0.07120016798953029,-0.00014998372678605803,0.09781923989461505,-0.0597919744446842
20290793,-0.06265110838512511,-0.1889225019342544,-0.10221975583835624,-0.33827325290229676
